gouvernorat,year,fire_count,area_burned_ha,forest_area_ha,other_forest_area_ha,tavg,tmax,tmin,prcp,wspd,pres,NDVI,NDMI,NBR,brightness,total_frp,confidence,satellite_fire_count
Kasserine,2025,87.0,236.45,132326.0,26717.0,20.898164383561642,45.519999999999996,-1.9800000000000004,290.94545454545454,12.690000000000001,1016.4559146705442,0.09673333756028037,-0.06609225732263581,0.008981637089400819,323.0436454752181,0.0,65.29756656992024,0.0
Kebili,2015,1.0,0.5,30441.18181818182,15278.772727272728,26.910591801085896,40.739999999999995,14.3,2.0555555555555554,13.165516360070134,1019.06875,0.09203161388121908,-0.06931741078330206,0.0008058387504478475,321.70263005783477,0.0,61.68557775341401,0.0
Kebili,2016,0.0,0.0,30441.18181818182,15278.772727272728,22.00346496085974,40.233333333333334,4.311111111111111,5.672727272727273,13.619223517905711,1016.8962394965931,0.08933277091171263,-0.079292706691506,-0.0030758624181950996,322.52989787254387,0.0,61.49336910961134,0.0
Kebili,2017,0.0,0.0,30441.18181818182,15278.772727272728,21.272126366616064,44.44444444444444,0.35555555555555557,88.8,13.01565390444876,1016.840465441503,0.0944268191107382,-0.06406095298103373,0.008192211880793963,326.5986745217249,0.0,63.256359378637306,0.0
Kebili,2018,0.0,0.0,30441.18181818182,15278.772727272728,20.45376754505939,45.14545454545455,1.8272727272727274,145.47272727272727,13.726083768892119,1015.0103880944705,0.09556175740947545,-0.06582210391356734,0.0047613527309758544,319.2079996939088,0.0,61.5048668503214,0.0
Kebili,2019,0.0,0.0,30441.18181818182,15278.772727272728,20.614126650036905,44.88181818181818,-1.9909090909090907,135.0,14.138777271102885,1015.6160992473164,0.1002167567313819,-0.06137518432071138,0.010599490958451991,323.4933877920087,0.0,68.466127675163,0.0
Kebili,2020,0.0,0.0,30441.18181818182,15278.772727272728,21.32628943746091,44.554545454545455,1.1909090909090911,142.9090909090909,13.39006922932628,1016.8704736188581,0.08977367616120505,-0.06877452522284531,0.0008038702147865018,329.25747293512,0.0,71.88394781335957,0.0
Kebili,2021,0.0,0.0,30441.18181818182,15278.772727272728,22.090646902066204,47.654545454545456,0.1,152.75454545454545,13.769729967386246,1016.1590162087291,0.09056086888299263,-0.07136040127289321,-0.0033992255451026454,324.1634510140843,0.0,67.5791062391721,0.0
Kebili,2022,0.0,0.0,30441.18181818182,15278.772727272728,21.252064231033952,44.22727272727273,1.4909090909090907,161.3909090909091,12.909214717074235,1017.1483075252759,0.09062421070345383,-0.07001989969980184,-0.003517594190538891,322.98870284780577,0.0,62.83833935328518,0.0
Kebili,2023,0.0,0.0,30441.18181818182,15278.772727272728,21.327951415829908,48.019999999999996,-4.0600000000000005,279.8818181818182,13.476098520463276,1016.4133592864315,0.08099979695142666,-0.07350739271986148,-0.009469364905817346,324.2538285968604,0.0,67.5316102425945,0.0
Kebili,2024,0.0,0.0,30441.18181818182,15278.772727272728,21.380369550463985,44.08,-2.0699999999999994,204.76363636363638,13.516285262934412,1016.5428084522988,0.09208614438952391,-0.07286868368816443,-0.005818128310276672,316.2404094202899,0.0,66.7363612836439,0.0
Kebili,2025,4.0,0.0,30441.18181818182,15278.772727272728,20.898164383561642,45.519999999999996,-1.9800000000000004,290.94545454545454,12.690000000000001,1016.4559146705442,0.09673333756028037,-0.06609225732263581,0.008981637089400819,323.0436454752181,0.0,65.29756656992024,0.0
Le Kef,2015,47.0,132.222,77728.0,38088.0,26.910591801085896,40.739999999999995,14.3,2.0555555555555554,13.165516360070134,1019.06875,0.09203161388121908,-0.06931741078330206,0.0008058387504478475,321.70263005783477,0.0,61.68557775341401,0.0
Le Kef,2016,20.0,792.305,77728.0,38088.0,22.00346496085974,40.233333333333334,4.311111111111111,5.672727272727273,13.619223517905711,1016.8962394965931,0.08933277091171263,-0.079292706691506,-0.0030758624181950996,322.52989787254387,0.0,61.49336910961134,0.0
